EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2929401896157338624,-0.031637,0.085322,105.73717880886,-20.73168073939,0.5916,0.0248,-4.831,0.023,1.857,0.027,15.227786,0.002766,0.817692,0.004966922395257622
Gaia EDR3 2929401896157340160,-0.030625,0.083088,105.73826007338,-20.73391476874,0.1961,0.07,0.606,0.064,0.839,0.078,17.342762,0.002832,0.992804,0.009693077470321046
Gaia EDR3 2929401896157341056,-0.034153,0.085126,105.73448794173,-20.73187570165,0.5455,0.0318,-1.285,0.03,1.789,0.033,15.801761,0.002773,0.904668,0.005380539610949595
Gaia EDR3 2929401896157341696,-0.033508,0.084213,105.73517741141,-20.73278906787,0.1343,0.0651,0.087,0.06,1.148,0.075,17.164019,0.002838,1.467066,0.010402163025936722
Gaia EDR3 2929401896157345536,-0.036813,0.083852,105.73164442396,-20.73314935153,0.0361,0.1157,-1.066,0.103,0.979,0.126,18.11311,0.002952,0.982227,0.01690026551084522
Gaia EDR3 2929401896157347840,-0.03446,0.080083,105.73415846901,-20.73691933763,-0.1837,0.1662,-0.457,0.151,1.665,0.187,18.6641,0.003157,1.088572,0.030473272068103952
Gaia EDR3 2929401896158825728,-0.03989,0.083899,105.72835421969,-20.73310182826,-0.3572,0.315,-0.441,0.272,1.163,0.331,19.492754,0.003816,1.186768,0.055800602327316075
Gaia EDR3 2929401926212800768,-0.021985,0.090617,105.74749920894,-20.72638773652,-0.0793,0.404,1.014,0.353,-0.677,0.431,19.824177,0.004244,1.907518,0.0796136905400079
Gaia EDR3 2929401926212808192,-0.032995,0.092338,105.73572818041,-20.72466487594,0.9963,0.5389,-0.15,0.482,2.47,0.605,20.179081,0.005323,1.616839,0.10405940879990165
Gaia EDR3 2929401926212809472,-0.026592,0.092656,105.74257420499,-20.72434794843,1.9062,0.1364,7.519,0.125,-1.658,0.15,18.452185,0.003162,2.323223,0.035481310529985106
Gaia EDR3 2929401926212814208,-0.018858,0.093897,105.75084307795,-20.72310798695,0.354,0.1976,-0.214,0.175,0.96,0.211,18.988922,0.003346,0.958824,0.03111589561060812
Gaia EDR3 2929401926212819968,-0.033246,0.095518,105.73546107946,-20.72148422505,0.5607,0.2055,-8.008,0.182,-5.495,0.22,18.97518,0.003393,2.057678,0.0563096457946916
Gaia EDR3 2929401926212821376,-0.022658,0.095859,105.7467815222,-20.7211454723,0.1567,0.3367,-1.323,0.325,3.467,0.407,19.688026,0.004143,1.483885,0.07234922406216905
Gaia EDR3 2929401926212840576,-0.023727,0.101331,105.74563907158,-20.71567268189,-0.03,0.3537,-0.186,0.32,1.04,0.46,19.828218,0.004346,1.182854,0.06014510064659428
Gaia EDR3 2929401930510553216,-0.024984,0.093899,105.74429335355,-20.72310510509,0.2022,0.3851,-0.265,0.351,0.845,0.438,19.898144,0.004631,1.19673,0.06863311478401146
Gaia EDR3 2929401930512010624,-0.028415,0.092503,105.74062559012,-20.72450037812,-0.9203,1.2369,-1.991,0.812,2.075,1.328,20.646585,0.008591,1.472923,0.13835469404860679
Gaia EDR3 2929401930517057280,-0.026193,0.098966,105.74300162655,-20.71803724101,0.1018,0.0274,-0.405,0.025,1.5,0.029,15.416275,0.002768,1.423692,0.0052005573034556146
Gaia EDR3 2929401930517072896,-0.026299,0.085277,105.74288671155,-20.73172655593,0.1302,0.0119,-0.239,0.011,1.483,0.012,12.598603,0.002758,1.343349,0.004735185706855474
Gaia EDR3 2929401960572538240,-0.047027,0.090288,105.72072519347,-20.72671078193,-0.0814,0.3329,-2.204,0.295,2.502,0.369,19.666428,0.003906,1.433636,0.058439910240274374
Gaia EDR3 2929401960572547968,-0.048725,0.093099,105.71890975764,-20.7238992378,-0.6576,0.6714,-0.337,0.802,1.09,1.197,20.46562,0.006414,1.098917,0.12014474951231688
Gaia EDR3 2929401960572552704,-0.050054,0.094401,105.7174893452,-20.72259642445,-1.3698,1.2545,-1.624,0.911,1.901,1.855,20.62842,0.007915,1.297169,0.10592537851412567
