EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5588805376224061696,0.03988,-0.008419,114.7396929252,-33.85174923035,-0.0201,0.0833,-0.975,0.078,1.57,0.081,17.722519,0.002939,0.837406,0.01729016088292595
Gaia EDR3 5588805376224062976,0.039307,-0.015852,114.73900762087,-33.85918248456,0.2262,0.0648,-1.786,0.064,3.26,0.063,17.305294,0.00287,1.32646,0.011099406583343406
Gaia EDR3 5588805376225074560,0.047237,-0.01258,114.74855462095,-33.85590632813,-1.2444,0.4951,-2.11,0.525,-2.415,0.503,16.49325,0.00591,1.622781,0.012904592320880313
Gaia EDR3 5588805406282387584,0.046848,-0.006156,114.7480823115,-33.84948277411,0.1634,0.1308,-1.119,0.128,1.802,0.13,18.582611,0.003236,0.973925,0.03640721520509996
Gaia EDR3 5588805406283410048,0.049821,-0.012007,114.75166631553,-33.85533136651,0.4445,0.1409,-4.146,0.141,5.486,0.141,18.645746,0.005418,1.62533,0.04981750465354337
Gaia EDR3 5588805406283418752,0.050505,-0.008124,114.75248744255,-33.85144846282,0.27,0.2759,-0.939,0.256,1.881,0.261,19.593746,0.004159,1.233887,0.07497955188785953
Gaia EDR3 5588805406283443328,0.05361,0.000387,114.75621977641,-33.84293513768,0.5838,0.2747,-1.828,0.26,3.41,0.251,19.475428,0.00415,1.542341,0.06494024028153607
Gaia EDR3 5588805406283449984,0.047222,0.003265,114.74852594833,-33.84006177835,0.3619,0.3726,-0.598,0.336,1.634,0.336,19.91937,0.005226,1.310488,0.09158861262252799
Gaia EDR3 5588805406283471232,0.051007,-0.004517,114.75308879769,-33.84784099733,0.0773,0.1641,-1.335,0.158,2.004,0.161,18.911375,0.003359,1.147465,0.04828152735493707
Gaia EDR3 5588805410574609024,0.057923,-0.001605,114.76141364813,-33.84492517805,-0.2281,0.1975,-0.263,0.192,2.329,0.185,19.060038,0.004086,1.228504,0.08947122988811201
