EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3046144845334321792,-0.012779,0.008328,106.65362123079,-11.7250109049,0.1812,0.0676,-0.584,0.067,1.6,0.061,16.75913,0.002894,1.203701,0.013202520863058986,0.9952,1
Gaia EDR3 3046141134482606080,0.017612,-0.055161,106.68466395232,-11.78849977075,0.321,0.3536,-0.516,0.306,1.333,0.265,19.142694,0.005081,1.310846,0.10495074142339263,0.9936,1
Gaia EDR3 3046145150268270208,-0.01127,0.030856,106.6551636369,-11.70248293893,0.2628,0.1082,-0.661,0.106,1.555,0.102,17.538065,0.003187,1.184149,0.020814527692929994,0.9952,1
Gaia EDR3 3046146494601719424,0.034463,0.043061,106.70186543551,-11.6902757857,0.1194,0.1024,-0.774,0.113,1.456,0.101,17.503435,0.003081,1.259836,0.02080986218197475,0.9924,1
Gaia EDR3 3046146735119895552,0.007297,0.049967,106.67412393821,-11.68337216937,0.0463,0.0691,-0.512,0.071,1.566,0.063,16.774427,0.002889,1.334543,0.009045312247921412,0.9954,1
Gaia EDR3 3046144772318577792,-0.005521,-0.008839,106.6610340138,-11.74217853309,0.1329,0.4548,-0.491,0.377,1.23,0.357,19.320202,0.004664,1.504396,0.0993743582807116,0.9948,1
Gaia EDR3 3046141954812527744,0.029311,0.008823,106.69660869943,-11.72451496319,0.148,0.4082,-0.624,0.346,1.209,0.298,19.246798,0.004387,1.412085,0.06700008193265237,0.9934,1
Gaia EDR3 3046141924751850496,0.022499,-0.010115,106.68965307336,-11.74345337974,0.0052,0.3681,-0.543,0.318,1.548,0.278,19.169981,0.004588,1.392653,0.071217780720417,0.9962,1
Gaia EDR3 3046141130183025408,0.010654,-0.045248,106.67755578522,-11.77858684193,0.055,0.1332,-0.421,0.132,1.321,0.127,18.030828,0.003132,1.314886,0.020107144893244652,0.9937,1
Gaia EDR3 3046145184628024704,-0.000491,0.036082,106.66617111173,-11.69725703736,0.3424,0.1557,-0.66,0.157,1.468,0.143,18.200277,0.00336,1.200842,0.03367654668760652,0.9965,1
Gaia EDR3 3046146490298124928,0.032195,0.048837,106.69954906506,-11.68450093657,-0.0555,0.1253,-0.543,0.136,1.431,0.126,17.736004,0.003087,1.147179,0.025964993577455155,0.9935,1
Gaia EDR3 3046141615518892416,0.063155,-0.016241,106.73117937207,-11.74957322249,0.2127,0.0879,-0.398,0.088,1.306,0.084,17.389029,0.003004,1.295467,0.025859756387970733,0.9835,1
Gaia EDR3 3046141306276716288,-0.004532,-0.052241,106.66204287307,-11.78558033475,0.0627,0.4969,-0.396,0.798,1.333,0.681,19.412643,0.006537,2.079382,0.18058931236484965,0.9904,1
Gaia EDR3 3046145012829256960,-0.033539,0.01241,106.63241983286,-11.72092771661,-0.0111,0.1461,-0.617,0.143,1.263,0.132,18.030502,0.003231,1.335144,0.024075268195343585,0.9926,1
Gaia EDR3 3046143367865545216,0.047079,0.002868,106.71475661729,-11.73046748567,0.1919,0.0774,-0.368,0.081,1.483,0.074,17.106256,0.002902,1.415043,0.012571751461003065,0.9861,1
Gaia EDR3 3046141890392075264,0.039372,-0.008406,106.70688683599,-11.74174247607,0.0027,0.2234,-0.73,0.249,1.323,0.216,18.474472,0.0042,1.086033,0.1489760820481876,0.9928,1
Gaia EDR3 3046144875390261120,0.008534,-0.001499,106.6753895652,-11.7348384351,0.0283,0.1583,-0.381,0.153,1.441,0.142,18.168064,0.003266,1.35783,0.033674206655541536,0.9958,1
Gaia EDR3 3046141301981708032,-0.010682,-0.049241,106.65576047649,-11.78257977176,0.3745,0.1133,-0.508,0.101,1.336,0.093,17.466465,0.00301,1.316158,0.01540316551271819,0.9905,1
Gaia EDR3 3046146662096779392,0.015001,0.037599,106.68199192353,-11.69574035659,-0.0491,0.2231,-0.637,0.238,1.288,0.208,18.736988,0.003987,1.293615,0.060953706060851084,0.9955,1
Gaia EDR3 3046144909750060288,0.019874,0.017867,106.68696950748,-11.71547193156,-0.0514,0.1162,-0.685,0.114,1.328,0.105,17.416218,0.003143,1.279047,0.020729755623872363,0.9962,1
Gaia EDR3 3046141783013745024,-0.008853,-0.024157,106.65763035354,-11.75749649577,-0.0197,0.1517,-0.573,0.154,1.588,0.156,18.21149,0.003466,1.298021,0.033445101051381064,0.9932,1
Gaia EDR3 3046144841035484544,-0.019542,0.005346,106.64671462471,-11.72799284666,-0.0419,0.2384,-0.559,0.245,1.258,0.218,18.81486,0.003904,1.345322,0.05514405890671202,0.9951,1
Gaia EDR3 3046146662096821248,0.010754,0.05063,106.67765409785,-11.68270902485,0.0619,0.4939,-0.778,0.421,1.539,0.354,19.41729,0.004636,1.54096,0.07272489777727958,0.9929,1
Gaia EDR3 3046141851733236352,0.031795,-0.017296,106.69914882248,-11.75063320639,-0.1002,0.3043,-0.607,0.268,1.416,0.243,18.962397,0.004086,1.354689,0.04909312853307906,0.9958,1
Gaia EDR3 3046146421578596736,0.044226,0.032698,106.71183752498,-11.700637457,0.1674,0.1299,-0.832,0.136,1.472,0.117,17.870615,0.003173,1.275793,0.021904520403240414,0.9913,1
Gaia EDR3 3046141817373505664,0.002942,-0.015228,106.66967798223,-11.74856777431,0.3242,0.1561,-0.381,0.168,1.417,0.146,18.241049,0.003251,1.346495,0.03633749043081834,0.9951,1
Gaia EDR3 3046141821677343488,0.010193,-0.006542,106.67708351653,-11.73988133235,0.1591,0.104,-0.553,0.1,1.674,0.088,17.163433,0.003052,1.241468,0.01793744474574781,0.9946,1
Gaia EDR3 3046144364298013952,-0.02317,-0.025131,106.64300604803,-11.75846965834,0.3173,0.0261,-0.778,0.026,1.332,0.024,14.835138,0.002792,0.79064,0.005523888512946786,0.9908,1
Gaia EDR3 3046141645574795136,0.045864,-0.021255,106.71351948794,-11.75459089127,0.0291,0.1337,-0.523,0.13,1.182,0.128,18.036444,0.003207,0.991545,0.023723317439999198,0.9865,1
Gaia EDR3 3046141959116281728,0.027327,0.003372,106.69458252809,-11.72996602746,0.4075,0.153,-0.651,0.169,1.477,0.144,17.948744,0.00331,1.287825,0.02508679651200848,0.9965,1
Gaia EDR3 3046141439420663168,0.033222,-0.048525,106.70060942606,-11.78186213629,0.3483,0.2753,-0.404,0.236,1.344,0.221,18.963768,0.004071,1.448662,0.07019530748343968,0.9907,1
Gaia EDR3 3046141061463523712,0.018992,-0.056911,106.68607410726,-11.79024948158,-0.0087,0.1743,-0.676,0.182,1.605,0.164,18.37806,0.003472,1.266371,0.033185011655733405,0.99,1
Gaia EDR3 3046144914049048448,0.022276,0.006492,106.68942329395,-11.7268459535,0.1063,0.2396,-0.348,0.28,1.279,0.215,18.567318,0.003819,,,0.9932,1
Gaia EDR3 3046146009261783680,-0.020845,0.047426,106.64538719085,-11.68591245131,0.1414,0.227,-0.826,0.236,1.282,0.208,18.776691,0.003956,1.430786,0.052190778779478496,0.9872,1
Gaia EDR3 3046141546797167104,0.031154,-0.029948,106.69849530048,-11.76328552939,0.2403,0.1777,-0.485,0.181,1.165,0.174,18.459484,0.003563,1.412003,0.03399459001420603,0.9883,1
Gaia EDR3 3046145150272544128,-0.011578,0.017885,106.65484827781,-11.71545397642,0.2956,0.0994,-0.337,0.096,1.417,0.086,17.379478,0.003,1.175478,0.02390684447286803,0.9935,1
Gaia EDR3 3046146735119900672,-0.007805,0.051925,106.65870241998,-11.68141422759,0.2027,0.1134,-0.646,0.114,1.134,0.1,17.491365,0.003033,1.274117,0.017176066323203742,0.9871,1
Gaia EDR3 3046144982773250176,0.012194,0.026317,106.67912621932,-11.70702195095,-0.0016,0.1252,-0.337,0.124,1.369,0.119,17.845417,0.0031,1.167448,0.021183371327952116,0.9942,1
Gaia EDR3 3046145188926953088,-0.001637,0.025421,106.66500104228,-11.70791879234,-0.0599,0.1703,-0.482,0.184,1.585,0.167,18.299654,0.00351,0.811123,0.4823629475230174,0.9958,1
